referencia;estante;nombre;nombre_corto;iva;costo;precio
7,70392E+11;0;DUCHA FAMMY 220V BEIGE;DUCHA FAMMY 220V BEIGE;16;0;33000
7,70719E+11;0;DUCHA KONTIKI LAVACABEZAS 110V Y 220V;DUCHA KONTIKI LAVACABEZAS 110V Y 220V;16;33500;55000
7,70719E+11;0;DUCHA KONTIKI 110V;DUCHA KONTIKI 110V;16;25700;37000
7,70405E+11;0;DUCHA CORAL 220V;DUCHA CORAL 220V;16;0;34000
7,70405E+11;0;DUCHA CORAL 110V;DUCHA CORAL 110V;16;0;34000
7,70323E+11;0;DUCHA GRICOL 110V;DUCHA GRICOL 110V;16;0;32000
7,70719E+11;0;DUCHA KONTIKI 110V CON MANGUERA;DUCHA KONTIKI 110V CON MANGUERA;16;0;45000
7,70719E+11;0;DUCHA KONTIKI JD DIRIGIBLE 220V;DUCHA KONTIKI JD DIRIGIBLE 220V;16;0;60000
7,70719E+11;0;DUCHA KONTIKI JD DIRIGIBLE 110V;DUCHA KONTIKI JD DIRIGIBLE 110V;16;34500;60000
7,70392E+11;0;DUCHA FAMMY CON MANGUERA Y MIPLE 110V;DUCHA FAMMY CON MANGUERA Y MIPLE 110V;16;0;44000
7,70392E+11;0;DUCHA FAMMY CON MIPLE 110V;DUCHA FAMMY CON MIPLE 110V;16;0;40000
3644;0;TUBO CONDUY 1/2 SEMIPESADO;TUBO CONDUY 1/2 SEMIPESADO;16;923;2500
3645;0;TUBO CONDUY 1/2 PESADO;TUBO CONDUY 1/2 PESADO;16;2389;4000
3647;0;TUBO CONDUY PESADO 3/4;TUBO CONDUY PESADO 3/4;16;2891;4500
1158;0;BASE NEVERA TUBO;BASE NEVERA TUBO;16;10000;20000
1157;0;BASE NEVERA ANGULO;BASE NEVERA ANGULO;16;7500;18000
3646;0;TUBO CONDUY 3/4 LIVIANO;TUBO CONDUY 3/4 LIVIANO;16;1485;3000
3643;0;"TUBO CONDUY 1"" PESADO";"TUBO CONDUY 1"" PESADO";16;0;0
3642;0;"TUBO CONDUY 1"" LIVIANO";"TUBO CONDUY 1"" LIVIANO";16;0;0
2921;0;PERA PARA BAÑO;PERA PARA BAÑO;16;750;2000
2020;0;CURVAS CONDUY 1/2;CURVAS CONDUY 1/2;16;163;350
1643;0;CARNAZA X BOLSA;CARNAZA X BOLSA;16;300;700
1514;0;CAJA 4X4 PLASTICA;CAJA 4X4 PLASTICA;16;328;800
3381;0;TAPA PLUS;TAPA PLUS;16;180;500
7,70729E+11;0;VASO LICUADORA OSTER PLASTICO;VASO LICUADORA OSTER PLASTICO;16;3400;6000
1529;0;CAJA OCTAGONAL PLASTICA;CAJA OCTAGONAL PLASTICA;16;328;800
3776;0;"YE SANITARIA 4""";"YE SANITARIA 4""";16;7158;11000
3775;0;"YE SANITARIA 3""";"YE SANITARIA 3""";16;3379;6500
1528;0;CAJA OCTAGONAL METALICA;CAJA OCTAGONAL METALICA;16;400;800
3689;0;"UNION SANITARIA 3""";"UNION SANITARIA 3""";16;1131;2000
3426;0;"TE SANITARIA 3""";"TE SANITARIA 3""";16;2999;4500
1875;0;"CODO SANITARIA 3""";"CODO SANITARIA 3""";16;2340;3500
1876;0;"CODO SANITARIA 4"".";"CODO SANITARIA 4"".";16;4910;7500
1879;0;"CODO SANITARIA CXE 3""";"CODO SANITARIA CXE 3""";16;2319;3800
1865;0;"CODO MEDIO CXE 3""";"CODO MEDIO CXE 3""";16;1731;3500
1864;0;"CODO MEDIO CXC 3""";"CODO MEDIO CXC 3""";16;1883;3700
1362;0;BUJE 4X2;BUJE 4X2;16;2358;4200
3690;0;"UNION SANITARIA 4""";"UNION SANITARIA 4""";16;1925;3300
3427;0;"TE SANITARIA 4""";"TE SANITARIA 4""";16;6206;10000
1363;0;BUJE 4X3;BUJE 4X3;16;2376;4200
1873;0;CODO REDUCCION 3 X 1 1/2;CODO REDUCCION 3 X 1 1/2;16;0;0
1364;0;BUJE 6X4;BUJE 6X4;16;0;0
1863;0;"CODO MEDIO 4""";"CODO MEDIO 4""";16;3267;7800
3153;0;"REGILLA  SIFON  3 A 2""PLASTICA";"REGILLA  SIFON  3 A 2""PLASTICA";16;850;2500
1361;0;BUJE 3X2;BUJE 3X2;16;1113;2500
3713;0;VARETA GALON IMPERSERCAS;VARETA GALON IMPERSERCAS;16;11000;17500
3436;0;TELA ASFALTICA X20 METROS;TELA ASFALTICA X20 METROS;16;30500;40000
7,70216E+11;0;VARETA GALON DESTISOL;VARETA GALON DESTISOL;16;23485;32000
2763;0;MEZCLEROS GRANDES;MEZCLEROS GRANDES;16;8000;13000
2764;0;MEZCLEROS PEQUEÑOS;MEZCLEROS PEQUEÑOS;16;5300;10000
1802;0;"CLAVO COMUN X CAJA CON CABEZA 2 1/2""";"CLAVO COMUN X CAJA CON CABEZA 2 1/2""";16;1785;2400
1800;0;"CLAVO COMUN X CAJA CON CABEZA 1 1/2 """;"CLAVO COMUN X CAJA CON CABEZA 1 1/2 """;16;1702;2400
1808;0;CLAVO COMUN X CAJA SIN CABEZA 2 1/2;CLAVO COMUN X CAJA SIN CABEZA 2 1/2;16;0;0
1806;0;"CLAVO COMUN X CAJA CON CABEZA 5""";"CLAVO COMUN X CAJA CON CABEZA 5""";16;3572;5000
1206;0;BOMBILLO COLOR ROSCA 27 15W;BOMBILLO COLOR ROSCA 27 15W;16;850;2000
2023;0;"CURVAS ELECTRICAS 3""";"CURVAS ELECTRICAS 3""";16;0;0
2022;0;"CURVAS ELECTRICAS 2""";"CURVAS ELECTRICAS 2""";16;0;0
2019;0;"CURVA ELECTRICA 1""";"CURVA ELECTRICA 1""";16;0;0
2318;0;FOGON PETROLEO;FOGON PETROLEO;16;8576;15000
7,707E+11;0;FUMIGADORA JARDIN;FUMIGADORA JARDIN;16;5600;16000
1533;0;ZUNCHO CAJA GRANDE;ZUNCHO CAJA GRANDE;16;15000;22000
3780;0;ZUNCHO POR METRO;ZUNCHO POR METRO;16;0;200
1028;0;ACRONAL RESINA ACRILICA X BOTELLAS;ACRONAL RESINA ACRILICA X BOTELLAS;16;1305;2600
1026;0;ACRONAL RESINA ACRILICA 1/2;ACRONAL RESINA ACRILICA 1/2;16;706;1600
