referencia;proveedor;estante;nombre;referencia2;iva;cantidad;costo;precio;unidad_medida;fecha;fecha_trx
1539;0;0;CAL SUPERIOR PREPARADA BLANCO HUESO;243044605071;16;9;3690;5800;BULTO;31/01/2011;22/11/2015
770718067706;0;0;DUCHA BOCHERINI VICTORY 220V;770718067706;16;12;32192;40000;;31/01/2011;05/04/2016
770718067775;0;0;DUCHA BOCHERINI VICTORY 110V;770718067775;16;12;32192;40000;;31/01/2011;04/04/2016
770718067772;0;0;DUCHA BOCHERINI MAXI 220V;770718067772;16;0;0;42000;;31/01/2011;20/01/2013
770718067774;0;0;DUCHA BOCHERINI MAXI 110V;770718067774;16;0;0;42000;;31/01/2011;01/03/2012
770718067713;0;0;DUCHA BOCHERINI FUSION 110V;770718067713;16;9;35000;50000;;31/01/2011;04/03/2016
770718067714;0;0;DUCHA BOCHERINI FUSION 220V;770718067714;16;11;28000;50000;;31/01/2011;12/03/2016
770391600012;0;0;DUCHA FAMMY 110V BEIGE;770391600012;16;1;0;33000;;31/01/2011;18/07/2011
770391600027;0;0;DUCHA FAMMY 220V BEIGE;770391600027;16;3;0;33000;;31/01/2011;28/12/2012
770719133105;0;0;DUCHA KONTIKI LAVACABEZAS 110V Y 220V;770719133105;16;0;33500;55000;;31/01/2011;12/09/2014
770719133104;0;0;DUCHA KONTIKI 110V;770719133104;16;2;25700;37000;;31/01/2011;01/10/2013
770404800003;0;0;DUCHA CORAL 220V;770404800003;16;0;0;34000;;31/01/2011;14/04/2011
770404815040;0;0;DUCHA CORAL 110V;770404815040;16;0;0;34000;;31/01/2011;10/08/2011
770323101081;0;0;DUCHA GRICOL 110V;770323101081;16;0;0;32000;;31/01/2011;25/05/2013
770719133101;0;0;DUCHA KONTIKI 110V CON MANGUERA;770719133101;16;1;0;45000;;31/01/2011;        
770719133003;0;0;DUCHA KONTIKI JD DIRIGIBLE 220V;770719133003;16;0;0;60000;;31/01/2011;09/12/2012
770719133002;0;0;DUCHA KONTIKI JD DIRIGIBLE 110V;770719133002;16;0;34500;60000;;31/01/2011;16/10/2013
770391600081;0;0;DUCHA FAMMY CON MANGUERA Y MIPLE 110V;770391600081;16;1;0;44000;;31/01/2011;        
770391600082;0;0;DUCHA FAMMY CON MIPLE 110V;770391600082;16;2;0;40000;;31/01/2011;        
3644;0;0;TUBO CONDUY 1/2 SEMIPESADO;243044605091;16;44;923;2500;TUBO;01/02/2011;08/04/2016
3645;0;0;TUBO CONDUY 1/2 PESADO;243044605092;16;25;2389;4000;;01/02/2011;27/03/2016
3647;0;0;TUBO CONDUY PESADO 3/4;243044605093;16;18;2891;4500;;01/02/2011;22/03/2016
1158;0;0;BASE NEVERA TUBO;243044605094;16;1;10000;20000;;01/02/2011;25/06/2013
1157;0;0;BASE NEVERA ANGULO;243044605095;16;0;7500;18000;;01/02/2011;05/11/2013
3646;0;0;TUBO CONDUY 3/4 LIVIANO;243044605096;16;16;1485;3000;;01/02/2011;09/04/2016
3643;0;0;"TUBO CONDUY 1"" PESADO";243044605097;16;1;0;0;;01/02/2011;        
3642;0;0;"TUBO CONDUY 1"" LIVIANO";243044605098;16;3;0;0;;01/02/2011;29/04/2012
2921;0;0;PERA PARA BA¾O;243044605099;16;24;750;2000;;01/02/2011;05/03/2016
2020;0;0;CURVAS CONDUY 1/2;243044605100;16;74;163;350;;01/02/2011;08/04/2016
1643;0;0;CARNAZA X BOLSA;243044605101;16;39;300;700;BOLSA;01/02/2011;30/03/2016
1514;0;0;CAJA 4X4 PLASTICA;243044605103;16;139;328;800;;01/02/2011;04/04/2016
3381;0;0;TAPA PLUS;243044605104;16;83;180;500;;01/02/2011;21/03/2016
770728718038;0;0;VASO LICUADORA OSTER PLASTICO;770728718038;16;11;3400;6000;;01/02/2011;05/03/2016
1529;0;0;CAJA OCTAGONAL PLASTICA;243044605106;16;118;328;800;;01/02/2011;18/04/2016
3776;0;0;"YE SANITARIA 4""";243044605107;16;6;7158;11000;;01/02/2011;17/01/2016
3775;0;0;"YE SANITARIA 3""";243044605108;16;1;3379;6500;;01/02/2011;18/04/2016
1528;0;0;CAJA OCTAGONAL METALICA;243044605109;16;59;400;800;;01/02/2011;04/06/2015
3689;0;0;"UNION SANITARIA 3""";243044605110;16;25;1131;2000;;01/02/2011;09/04/2016
3426;0;0;"TE SANITARIA 3""";243044605111;16;34;2999;4500;;01/02/2011;02/04/2016
1875;0;0;"CODO SANITARIA 3""";243044605112;16;41;2340;3500;;01/02/2011;18/04/2016
1876;0;0;"CODO SANITARIA 4"".";243044605113;16;9;4910;7500;;01/02/2011;31/01/2016
1879;0;0;"CODO SANITARIA CXE 3""";243044605114;16;10;2319;3800;;01/02/2011;01/10/2015
1865;0;0;"CODO MEDIO CXE 3""";243044605115;16;23;1731;3500;;01/02/2011;03/04/2016
1864;0;0;"CODO MEDIO CXC 3""";243044605116;16;18;1883;3700;;01/02/2011;08/04/2016
1362;0;0;BUJE 4X2;243044605117;16;7;2358;4200;;01/02/2011;04/12/2015
3690;0;0;"UNION SANITARIA 4""";243044605118;16;17;1925;3300;;01/02/2011;06/04/2016
3427;0;0;"TE SANITARIA 4""";243044605119;16;14;6206;10000;;01/02/2011;23/02/2016
1363;0;0;BUJE 4X3;243044605120;16;11;2376;4200;;01/02/2011;23/02/2016
1873;0;0;CODO REDUCCION 3 X 1 1/2;243044605121;16;5;0;0;;01/02/2011;        
1364;0;0;BUJE 6X4;243044605122;16;2;0;0;;01/02/2011;27/11/2011
1863;0;0;"CODO MEDIO 4""";243044605123;16;3;3267;7800;;01/02/2011;03/04/2016
3153;0;0;"REGILLA  SIFON  3 A 2""PLASTICA";243044605124;16;23;850;2500;;01/02/2011;20/03/2016
1361;0;0;BUJE 3X2;243044605125;16;15;1113;2500;;01/02/2011;27/03/2016
3713;0;0;VARETA GALON IMPERSERCAS;243044605127;16;4;11000;17500;;01/02/2011;18/10/2014
3436;0;0;TELA ASFALTICA X20 METROS;243044605128;16;0;30500;40000;;01/02/2011;10/01/2016
770215800005;0;0;VARETA GALON DESTISOL;770215800005;16;1;23485;32000;;01/02/2011;21/09/2015
2763;0;0;MEZCLEROS GRANDES;243044605130;16;2;8000;13000;;01/02/2011;24/03/2016
2764;0;0;MEZCLEROS PEQUE¾OS;243044605131;16;3;5300;10000;;01/02/2011;17/05/2015
1802;0;0;"CLAVO COMUN X CAJA CON CABEZA 2 1/2""";243044605132;16;97;1785;2400;;01/02/2011;07/04/2016
1800;0;0;"CLAVO COMUN X CAJA CON CABEZA 1 1/2 """;243044605133;16;42;1702;2400;;01/02/2011;18/04/2016
1808;0;0;CLAVO COMUN X CAJA SIN CABEZA 2 1/2;243044605134;16;105;0;0;;01/02/2011;09/06/2015
1806;0;0;"CLAVO COMUN X CAJA CON CABEZA 5""";243044605135;16;33;3572;5000;;01/02/2011;08/04/2016
1206;0;0;BOMBILLO COLOR ROSCA 27 15W;243044605136;16;4;850;2000;;01/02/2011;26/01/2016
2023;0;0;"CURVAS ELECTRICAS 3""";243044605137;16;15;0;0;;01/02/2011;        
2022;0;0;"CURVAS ELECTRICAS 2""";243044605138;16;1;0;0;;01/02/2011;        
2019;0;0;"CURVA ELECTRICA 1""";243044605139;16;34;0;0;;01/02/2011;        
2318;0;0;FOGON PETROLEO;243044605140;16;4;8576;15000;;01/02/2011;06/03/2016
770700255797;0;0;FUMIGADORA JARDIN;770700255797;16;5;5600;16000;;01/02/2011;16/08/2014
1533;0;0;ZUNCHO CAJA GRANDE;243044605142;16;5;15000;22000;0;01/02/2011;30/03/2016
3780;0;0;ZUNCHO POR METRO;243044605143;16;924;0;200;;01/02/2011;19/02/2016
1028;0;0;ACRONAL RESINA ACRILICA X BOTELLAS;243044605144;16;8;1305;2600;;01/02/2011;18/04/2016
1026;0;0;ACRONAL RESINA ACRILICA 1/2;243044605145;16;6;706;1600;;01/02/2011;23/03/2016
1027;0;0;ACRONAL RESINA ACRILICA GARRAFA;243044605146;16;3;3331;7500;;01/02/2011;20/03/2016
1025;0;0;ACRONAL ACROACRIL GARRAFA  AL 50%;243044605147;16;5;11590;18000;;01/02/2011;26/03/2016
1024;0;0;ACRONAL ACROACRYL BOTELLA AL 30;243044605148;16;23;2881;5000;;01/02/2011;08/04/2016
1023;0;0;ACRONAL ALFACRYL 1/2;243044605149;16;5;1305;2300;;01/02/2011;15/02/2016
2934;0;0;PETROLEO X 1/2;243044605150;16;34;1488;2600;;01/02/2011;05/04/2016
2936;0;0;PETROLEO X GARRAFA;243044605151;16;20;8268;12000;;01/02/2011;06/04/2016
2935;0;0;PETROLEO X BOTELLAS;243044605152;16;32;2883;4600;;01/02/2011;01/04/2016
1062;0;0;ALCOHOL INDUSTRIAL GARRAFA;243044605153;16;7;9600;15000;;01/02/2011;09/04/2016
1064;0;0;ALCOHOL INDUSTRIAL X BOTELLAS;243044605154;16;27;4100;7500;;01/02/2011;18/04/2016
1063;0;0;ALCOHOL INDUSTRIAL X 1/2;243044605155;16;34;2100;4000;;01/02/2011;18/04/2016
1022;0;0;ACPM X BOTELLAS;243044605156;16;0;0;3200;;01/02/2011;22/07/2011
1021;0;0;ACPM X 1/2;243044605157;16;26;811;1600;;01/02/2011;19/04/2016
770317511410;0;0;XL PEGANTE 60ML TRADICIONAL;770317511410;16;17;1667;2500;FRASCO;01/02/2011;18/04/2016
3771;0;0;XL DISTRIPENGANTES ECONOMICO X 1/2;243044605159;16;5;2500;4500;;01/02/2011;05/04/2016
3768;0;0;XL DISTRIPEGANTES ECONOMICO X BOTELLAS;243044605160;16;10;4500;8500;;01/02/2011;21/03/2016
770317511440;0;0;XL POR BOTELLA;770317511440;16;7;8638;12000;;01/02/2011;05/04/2016
770317511430;0;0;XL POR MEDIA;770317511430;16;2;4601;6500;;01/02/2011;07/04/2016
770726402012;0;0;DESTAQUEADOR DLC5 480CC;770726402012;16;3;6036;12000;;01/02/2011;01/12/2015
3767;0;0;XL DISTRIPEGANTES 120ML;243044605168;16;23;900;2500;;01/02/2011;09/04/2016
3770;0;0;XL DISTRIPEGANTES X 60ML;243044605169;16;89;600;1500;;01/02/2011;09/04/2016
3769;0;0;XL DISTRIPEGANTES X 30;243044605170;16;46;350;1000;;01/02/2011;18/04/2016
